gene_symbol	organism	ncbi_gene_id	ncbi_symbol	ncbi_description	ncbi_refseq_count	uniprot_accession	uniprot_id	uniprot_protein	uniprot_length	uniprot_refseq	uniprot_tier	status
CASP1	human	834	CASP1	caspase 1	16	P29466	CASP1_HUMAN	Caspase-1	404	NP_001214.1;NP_001244047.1;NP_001244048.1;NP_150634.1;NP_150635.1;NP_150636.1;NP_150637.1	SWISSPROT	VERIFIED_SWISSPROT
CASP1	chicken	395764	CASP1	caspase 1	3	A0A8V1AL60	A0A8V1AL60_CHICK		393	XP_040506552.1	TREMBL	VERIFIED_TREMBL
CASP1	duck	101789899	LOC101789899	caspase-1	6						NONE	NCBI_ONLY_CHECK
CASP3	human	836	CASP3	caspase 3	18	P42574	CASP3_HUMAN	Caspase-3	277	NP_001341706.1;NP_004337.2;NP_116786.1;XP_047272192.1;XP_047272193.1;XP_047272194.1;XP_047272195.1;XP_054206930.1;XP_054206931.1;XP_054206932.1;XP_054206933.1	SWISSPROT	VERIFIED_SWISSPROT
CASP3	chicken	395476	CASP3	caspase 3	6	O93417	O93417_CHICK	Caspase-3	283	NP_990056.1;XP_015131608.1;XP_015131609.1;XP_046771431.1;XP_046771432.1;XP_046771433.1	TREMBL	VERIFIED_TREMBL
CASP3	duck	101805296	CASP3	caspase 3	3	A0A8B9SSZ4	A0A8B9SSZ4_ANAPL	Caspase-3	282	XP_005030551.1;XP_021134893.1;XP_027312089.1	TREMBL	VERIFIED_TREMBL
CASP4	human	837	CASP4	caspase 4	4	P49662	CASP4_HUMAN	Caspase-4	377	NP_001216.1;NP_150649.1;XP_011541321.1	SWISSPROT	VERIFIED_SWISSPROT
CASP4	chicken				0						NONE	CONFIRMED_ABSENT
CASP4	duck				0						NONE	CONFIRMED_ABSENT
CASP5	human	838	CASP5	caspase 5	4	P51878	CASP5_HUMAN	Caspase-5	434	NP_001129581.1;NP_001129582.1;NP_001129584.1;NP_004338.3	SWISSPROT	VERIFIED_SWISSPROT
CASP5	chicken				0						NONE	CONFIRMED_ABSENT
CASP5	duck				0						NONE	CONFIRMED_ABSENT
CASP7	human	840	CASP7	caspase 7	14	P55210	CASP7_HUMAN	Caspase-7	303	NP_001218.1;NP_001253985.1;NP_001253986.1;NP_001253987.1;NP_001307840.1;NP_203124.1;NP_203125.1;NP_203126.1	SWISSPROT	VERIFIED_SWISSPROT
CASP7	chicken	423901	CASP7	caspase 7	18	F1NV61	CASP7_CHICK	Caspase-7	309	XP_025007610.1;XP_040530980.1;XP_040530981.1;XP_046776577.1;XP_046799084.1;XP_421764.3	SWISSPROT	VERIFIED_SWISSPROT
CASP7	duck	101799962	CASP7	caspase 7	2	A0A8B9SRL6	A0A8B9SRL6_ANAPL		309	XP_005014501.2;XP_027315665.1	TREMBL	VERIFIED_TREMBL
CASP8	human	841	CASP8	caspase 8	50	Q14790	CASP8_HUMAN	Caspase-8	479	NP_001073593.1;NP_001073594.1;NP_001219.2;NP_001358980.1;NP_001387577.1;NP_001387580.1;NP_001387582.1;NP_001387583.1;NP_001387584.1;NP_001387585.1;NP_001387586.1;NP_001387587.1;NP_001387588.1;NP_001387589.1;NP_001387590.1;NP_001387591.1;NP_001387592.1;NP_001387596.1;NP_001387597.1;NP_001387608.1;NP_203519.1;NP_203520.1;XP_047301915.1;XP_054200090.1	SWISSPROT	VERIFIED_SWISSPROT
CASP8	chicken	395284	CASP8	caspase 8	1	A0A8V0ZVJ3	A0A8V0ZVJ3_CHICK	Caspase-8	512		TREMBL	VERIFIED_TREMBL
CASP8	duck	106014283	CASP8	caspase 8	1						NONE	NCBI_ONLY_CHECK
CASP9	human	842	CASP9	caspase 9	9	P55211	CASP9_HUMAN	Caspase-9	416	NP_001220.2;NP_001264983.1;NP_127463.2;XP_005246071.1;XP_054195099.1	SWISSPROT	VERIFIED_SWISSPROT
CASP9	chicken	426970	CASP9	caspase 9	2						NONE	UNCLEAR
CASP9	chicken	374154	CASP9	"caspase 9, apoptosis-related cysteine protease"	0						NONE	UNCLEAR
CASP9	duck	101795386	CASP9	caspase 9	2						NONE	NCBI_ONLY_CHECK
GSDMD	human	79792	GSDMD	gasdermin D	2	P57764	GSDMD_HUMAN	Gasdermin-D	484	NP_001159709.1;NP_079012.3	SWISSPROT	VERIFIED_SWISSPROT
GSDMD	chicken				0						NONE	CONFIRMED_ABSENT
