gene_symbol	organism	gene_id	official_symbol	description	chromosome	refseq_protein	status
CASP1	human	834	CASP1	caspase 1		XP_016873884;XP_016873883;NP_150637;NP_150636;NP_150635;NP_001214;NP_150634;XP_016873882;NP_001244048;NP_001244047;XP_016873885;XP_047283631;XP_054226104;XP_054226103;XP_054226102;XP_054226105	OK
CASP1	chicken	395764	CASP1	caspase 1		XP_015151421;XP_040506552;XP_040543522	OK
CASP1	duck	101789899	LOC101789899	caspase-1		XP_071882243;XP_071882244;XP_071882242;XP_027301817;XP_071882245;XP_071882246	OK
CASP3	human	836	CASP3	caspase 3		NP_001341713;NP_001341708;NP_001341710;NP_116786;NP_001341706;NP_001427875;NP_001341709;NP_001341711;NP_004337;NP_001341712;XP_047272195;XP_047272193;XP_047272194;XP_047272192;XP_054206930;XP_054206931;XP_054206932;XP_054206933	OK
CASP3	chicken	395476	CASP3	caspase 3		XP_015131608;XP_015131609;NP_990056;XP_046771431;XP_046771433;XP_046771432	OK
CASP3	duck	101805296	CASP3	caspase 3		XP_021134893;XP_027312089;XP_005030551	OK
CASP4	human	837	CASP4	caspase 4		NP_001216;NP_150649;XP_011541321;XP_054226106	OK
CASP4	chicken						NO_HIT
CASP4	duck						NO_HIT
CASP5	human	838	CASP5	caspase 5		NP_001129582;NP_001129581;NP_004338;NP_001129584	OK
CASP5	chicken						NO_HIT
CASP5	duck						NO_HIT
CASP7	human	840	CASP7	caspase 7		NP_001307840;NP_001253985;NP_203126;NP_001253986;XP_016872252;NP_203124;NP_203125;NP_001218;XP_006718080;NP_001253987;XP_011538562;XP_054222878;XP_054222879;XP_054222880	OK
CASP7	chicken	423901	CASP7	caspase 7		XP_040558935;XP_025007610;XP_025007614;XP_040558936;XP_046799084;XP_025007612;XP_040558934;XP_421764;XP_046799085;XP_040530978;XP_040530981;XP_040530983;XP_040530979;XP_046776577;XP_040530982;XP_040530977;XP_040530980;XP_046776578	OK
CASP7	duck	101799962	CASP7	caspase 7		XP_027315665;XP_005014501	OK
CASP8	human	841	CASP8	caspase 8		NP_001219;NP_001387580;NP_001387592;NP_001387586;NP_001387589;NP_001387606;NP_001387598;NP_001387577;NP_001387609;NP_001073593;NP_203519;NP_001387590;NP_001387608;XP_047301917;XP_047301915;NP_001073594;NP_001387571;NP_001387594;NP_001387584;NP_001387679;NP_001387591;NP_001387680;NP_001387574;NP_001387585;NP_001387587;NP_001387607;NP_001387597;NP_001387583;XP_005246950;XP_047301916;NP_001387603;NP_001358980;NP_001387599;NP_001387600;NP_001387595;NP_001387593;NP_203520;NP_001387605;NP_001387596;NP_001387582;NP_001387602;NP_001387588;NP_001387601;NP_001387604;XP_011510271;XP_054200094;XP_054200090;XP_054200093;XP_054200091;XP_054200092	OK
CASP8	chicken	395284	CASP8	caspase 8		NP_989923	OK
CASP8	duck	106014283	CASP8	caspase 8		XP_071897482	OK
CASP9	human	842	CASP9	caspase 9		XP_005246071;XP_047287990;NP_127463;NP_001264983;NP_001220;XP_011540575;XP_054195099;XP_054195100;XP_054195101	OK
CASP9	chicken	426970	CASP9	caspase 9		XP_046759217;XP_046787371	MULTIPLE_HITS
CASP9	chicken	374154	CASP9	caspase 9, apoptosis-related cysteine protease			NO_REFSEQ_PROTEIN
CASP9	duck	101795386	CASP9	caspase 9		XP_071883167;XP_038022448	OK
GSDMD	human	79792	GSDMD	gasdermin D		NP_001159709;NP_079012	OK
GSDMD	chicken						NO_HIT
GSDMD	duck						NO_HIT
GSDMA	human	284110	GSDMA	gasdermin A		NP_835465;XP_016879991;XP_006721895;XP_011522953;XP_054171768;XP_054171767;XP_054171769	OK
GSDMA	chicken	426132	GSDMA	gasdermin A		NP_001026532;XP_015154998;XP_015155000;XP_046789334;XP_046789335	OK
GSDMA	duck	101803587	GSDMA	gasdermin A		XP_027301037;XP_071885120	OK
GSDME	human	1687	GSDME	gasdermin E		XP_024302438;NP_001120926;NP_004394;NP_001424988;NP_001120925;XP_054213373	OK
GSDME	chicken	420623	DFNA5	DFNA5, deafness associated tumor suppressor		XP_015136934;XP_046778870;XP_015136931;NP_001006361;XP_015136932;XP_046778832;XP_046778857;XP_046778850;XP_040537724;XP_046767095;XP_046767097;XP_046767092;XP_046767093;XP_046767094;XP_046767096	OK
GSDME	duck	101796997	GSDME	gasdermin E		XP_012955994;XP_038030210;XP_038030212;XP_071889644;XP_071889645;XP_021128782;XP_005020592	OK
PYCARD	human	29108	PYCARD	PYD and CARD domain containing		NP_660183;NP_037390	OK
PYCARD	chicken						NO_HIT
PYCARD	duck						NO_HIT
NLRP3	human	114548	NLRP3	NLR family pyrin domain containing 3		XP_047299491;XP_024308630;XP_024308642;XP_047299495;XP_047299489;XP_047299513;XP_047299502;XP_047299527;NP_001230062;NP_004886;NP_001120933;XP_047299534;NP_001120934;NP_899632;XP_047299538;XP_016855670;XP_016855671;XP_047299518;NP_001073289;XP_047299490;XP_054190047;XP_054190056;XP_054190057;XP_054190050;XP_054190049;XP_054190053;XP_054190054;XP_054190048;XP_054190045;XP_054190052;XP_054190051;XP_054190055;XP_054190046	OK
NLRP3	chicken	423021	NLRP3	NLR family pyrin domain containing 3		XP_040556737;XP_040556730;XP_040556738;XP_040556736;XP_040556729;XP_040556732;XP_046797546;XP_046797547;XP_040556733;XP_040556731;XP_040556735;XP_046797549;XP_046797548;NP_001335876;XP_046774067;XP_046774055;XP_046774068;XP_046774066;XP_046774056;XP_046774058;XP_046774059;XP_046774061;XP_046774060;XP_046774057;XP_046774064;XP_046774065;XP_046774063	OK
NLRP3	duck	101795933	NLRP3	NACHT, LRR and PYD domains-containing protein 12		XP_005030015;XP_005030014;XP_005030016	OK
CARD8	human	22900	CARD8	caspase recruitment domain family member 8		NP_001338716;NP_001338720;NP_001338717;NP_001338715;NP_001338718;NP_001338721;NP_001338713;NP_055774;NP_001338719;NP_001171831;NP_001171829;NP_001338711;NP_001338712;NP_001171830;NP_001171832;NP_001352879;NP_001171833;NP_001413670	OK
CARD8	chicken	416998	CARD8	caspase recruitment domain family, member 8		XP_040504146;XP_415289;XP_040541012;XP_040541011	OK
CARD8	duck	110354120	LOC110354120	uncharacterized LOC110354120		XP_038039562;XP_038039563;XP_038039567;XP_038039565	OK
NAIP	human	4671	NAIP	NLR family apoptosis inhibitory protein		NP_075043;NP_004527;NP_001333799;XP_047299240;XP_047299237;XP_047299238;XP_047299243;XP_047299234;XP_047299244;XP_047299235;XP_047299236;XP_047299241;XP_047299239;XP_047299242	OK
NAIP	chicken						NO_HIT
NAIP	duck						NO_HIT
NLRC4	human	58484	NLRC4	NLR family CARD domain containing 4		NP_001289433;NP_067032;NP_001186068;NP_001186067;XP_047301312;XP_054199222	OK
NLRC4	chicken						NO_HIT
NLRC4	duck						NO_HIT
AIM2	human	9447	AIM2	absent in melanoma 2		XP_047290765;XP_047290764;NP_001335176;NP_004824;XP_047290767;XP_054195659;XP_054195660	OK
AIM2	chicken						NO_HIT
AIM2	duck						NO_HIT
RIPK1	human	8737	RIPK1	receptor interacting serine/threonine kinase 1		XP_047275403;XP_047275404;NP_001303990;NP_001341861;NP_003795;NP_001341860;XP_016866894;NP_001341863;NP_001341862;NP_001341859;XP_006715300;XP_047275401;XP_047275402;XP_016866892;XP_016866893;XP_054212622;XP_054212627;XP_054212623;XP_054212625;XP_054212624;XP_054212626	OK
RIPK1	chicken	378921	RIPK1	receptor interacting serine/threonine kinase 1		XP_046773405;NP_001384154;NP_989733;NP_001384153;XP_046773408;XP_046766185;XP_046766186	OK
RIPK1	duck	101801990	RIPK1	receptor interacting serine/threonine kinase 1		XP_038030766	OK
RIPK3	human	11035	RIPK3	receptor interacting serine/threonine kinase 3		NP_006862	OK
RIPK3	chicken	415708	RIPK3	receptor-interacting serine-threonine kinase 3		XP_004944206;XP_001232872;XP_046755573;XP_040536973;XP_040536979;XP_046781786	OK
RIPK3	duck						NO_HIT
ZBP1	human	10642	IGF2BP1	insulin like growth factor 2 mRNA binding protein 1		XP_047291095;XP_011522503;NP_006537;XP_016879511;XP_047291096;NP_001153895;XP_047291099;XP_005257012;XP_047291097;XP_047291098;XP_054170702;XP_054170704;XP_054170703;XP_054170705;XP_054170706;XP_054170707;XP_054170708;XP_054170709;XP_054170711;XP_054170712;XP_054170710	MULTIPLE_HITS
ZBP1	human	81030	ZBP1	Z-DNA binding protein 1		XP_047296481;XP_047296482;NP_001153890;NP_001153889;NP_110403;XP_011527360;XP_047296483;NP_001310895;NP_001153891;XP_054180060;XP_054180056;XP_054180058;XP_054180059;XP_054180057;XP_054180061	MULTIPLE_HITS
ZBP1	chicken	395953	IGF2BP1	insulin like growth factor 2 mRNA binding protein 1		NP_990402	OK
ZBP1	duck						NO_HIT
MLKL	human	197259	MLKL	mixed lineage kinase domain like pseudokinase		XP_005255891;NP_001135969;NP_689862;XP_047289660;XP_047289666;XP_047289663;XP_047289661;XP_047289664;XP_047289665;XP_047289662;XP_011521238;XP_054235719;XP_054235720;XP_054235727;XP_054235723;XP_054235721;XP_054235724;XP_054235725;XP_054235722;XP_054235726	OK
MLKL	chicken	415686	MLKL	mixed lineage kinase domain like pseudokinase		XP_015134716;XP_040536926	OK
MLKL	duck	101790564	MLKL	mixed lineage kinase domain like pseudokinase		XP_005009126;XP_005009127	OK
TICAM1	human	148022	TICAM1	TIR domain containing adaptor molecule 1		NP_001372608;NP_001372607;NP_001372609;NP_891549	OK
TICAM1	chicken	100008585	TICAM1	toll like receptor adaptor molecule 1		NP_001074975	OK
TICAM1	duck	101791305	TICAM1	TIR domain containing adaptor molecule 1		XP_038024889;XP_038024890;XP_071885179;NP_001297720	OK
TICAM2	human	353376	TICAM2	TIR domain containing adaptor molecule 2		NP_067681	OK
TICAM2	chicken						NO_HIT
TICAM2	duck	101793084	TICAM2	toll like receptor adaptor molecule 2		XP_012951073	OK
MYD88	human	4615	MYD88	MYD88 innate immune signal transduction adaptor		NP_001166038;NP_002459;NP_001361716;NP_001352805;NP_001166040;NP_001166039;NP_001352806;NP_001166037	OK
MYD88	chicken	420420	MYD88	MYD88 innate immune signal transduction adaptor		NP_001026133;XP_046777349;XP_046766834	OK
MYD88	duck	101797621	MYD88	MYD88 innate immune signal transduction adaptor		NP_001297761	OK
TRADD	human	8717	TRADD	TNFRSF1A associated via death domain		NP_003780;NP_001310481	OK
TRADD	chicken	415700	TRADD	TNFRSF1A associated via death domain		XP_414067;XP_004944196;XP_040536943;XP_040536942	OK
TRADD	duck	101799807	TRADD	TNFRSF1A associated via death domain		XP_027322284;XP_071899916	OK
FADD	human	8772	FADD	Fas associated via death domain		NP_003815	OK
FADD	chicken	423146	FADD	Fas associated via death domain		XP_421073;XP_040529199	OK
FADD	duck	101801863	FADD	Fas associated via death domain		XP_005022835	OK
DDX58	human	23586	RIGI	RNA sensor RIG-I		NP_001372841;NP_001372842;NP_001372836;NP_001372838;NP_055129;NP_001372843;NP_001372839	OK
DDX58	chicken						NO_HIT
DDX58	duck	101789567	RIGI	RNA sensor RIG-I		NP_001297309	OK
IFIH1	human	64135	IFIH1	interferon induced with helicase C domain 1		NP_071451;XP_047301363;XP_054199313	OK
IFIH1	chicken	424185	IFIH1	interferon induced with helicase C domain 1		NP_001180567	OK
IFIH1	duck	101800076	IFIH1	interferon induced with helicase C domain 1		NP_001297740	OK
STING1	human	340061	STING1	stimulator of interferon response cGAMP interactor 1		NP_001354187;NP_001288667;NP_938023	OK
STING1	chicken	768990	TMEM173	transmembrane protein 173		NP_001384384;NP_001292081;XP_001232171;XP_046783054	OK
STING1	duck	101799156	STING1	stimulator of interferon response cGAMP interactor 1		XP_027323922;XP_027323921	OK
NINJ1	human	4814	NINJ1	ninjurin 1		NP_004139;XP_011517018;XP_054218983	OK
NINJ1	chicken	415986	NINJ1	ninjurin 1		NP_001264806	OK
NINJ1	duck	101790285	NINJ1	ninjurin 1		XP_027323437	OK
